其他名称,详情描述,地区,动画种类,原版名称,原作,制作公司,首播时间,播放状态,剧情类型,标签,官方网站
世界第一初恋 第二季,主人公小野寺律在高中时一直暗恋着嵯峨前辈，然而由于一件小诗使双方都误会了对方。十年过去了，小野寺被分配到丸川书店少女漫画部当编辑，而且上班第一天就被上司高野先生训斥。其实高野先生就是小野寺高中时一直暗恋的嵯峨前辈。他在高三的时候因为父母离异而改了姓氏，而小野寺律却没有认出他来……小野寺因为初恋的失败而不再相信初恋会有结果这种神话，高野政宗却自信满满地说出：“我会让你再次喜欢上我的！觉悟吧！”自信到自恋程度的蛮横主编X好强新人的爱情战争，就此展开！,日本,TV,世界一初恋2,中村春菊,Studio DEEN,2011-10-07,完结,耽美 女性向,耽美 女性向,http://sekai-ichi.jp/
世界第一初恋OAD,漫画第5卷(2011年3月22日发售)附带高级动画DVD的限定版同捆，收录了《世界第一初恋~小野寺律的情况~》的第0话(约20分钟)。工作人员和tv动画版差不多。,日本,OVA,世界一初恋 OAD,中村春菊,Studio DEEN,2011-03-22,完结,耽美 女性向,耽美 女性向,暂无
女皇之刃 叛乱 OVA,《昆士兰州新的师徒，新的战斗》是2011年10月29日发售的《昆士兰州premium视觉书》同捆DVD收录的OVA。这是有关安妮·罗特与艾琳相遇并成为弟子的《皇后勇士里贝里翁》的序幕。作为奖金动画片一边被alain骂一边练习的“alain教官的生的事引导露营”也收录。,日本,OVA,クイーンズブレイド リベリオン OVA,HobbyJAPAN,Arms,2011-10-29,完结,奇幻 百合 战斗,奇幻 百合 战斗,http://queensblade.net/index.php/qb_ova
星游记,《星游记》是由北京卡酷传媒有限公司于2011年10月30日出品的中国动画片，由曾伟京、刘北、孙甜执导，阎萌萌、郝幽玥、山新等配音的动画。,中国,TV,星游记,暂无,北京卡酷传媒有限公司,2011-10-30,完结,奇幻 热血 战斗,奇幻 热血 战斗,http://weibo.com/2234747115
魔乳秘剑帖,《魔乳秘剑帖》，日本电视动画，原作山田秀树，由金子拓导演。于2011年7月10日－9月25日播出。主要配音有寿美菜子、丰崎爱生和水原薰等。,日本,TV,魔乳秘剣帖,山田秀樹,Hoods Entertainment,2011-07-10,完结,奇幻 百合 战斗,奇幻 百合 战斗,http://oppaidaisuki.jp
金钱掌控,《金钱掌控》是由日本动画公司龙之子Production制作，以金钱和未来为主题的原创电视动画。富士电视台于2011年4月14日首播，全11话。,日本,TV,[C] THE MONEY OF SOUL AND POSSIBILITY CONTROL,暂无,龙之子Production,2011-04-14,完结,科幻 悬疑 战斗,科幻 悬疑 战斗,http://www.noitamina-control.jp/
只有神知道的世界 4人与偶像,《只有神知道的世界-4人与偶像》是2011年9月16日发售的漫画音像制品。描述的是小阪千寻的轻音乐社团“2B Pencils”成为学校正式社团的小故事。,日本,OVA,神のみぞ知るセカイ 4人とアイドル,若木民喜,Manglobe,2011-09-16,完结,搞笑 奇幻 校园 后宫,搞笑 奇幻 校园 后宫,http://kaminomi.jp
皇家国教骑士团外传 THE DAWN,20世纪中叶，第二次世界大战正处于如火如荼的关键时刻。此时，大不列颠帝国得到一条重要情报，拥有“代理总统”之称的纳粹头目少校正秘密发动一场扭转战局的重要战争，他所率领的部队据说全由嗜血如命、毫无人性的肉体怪物食尸鬼组成，一旦食尸鬼部队发起攻击，同盟国的优势将荡然无存，世界亦将进入最为黑暗的时刻。针对这一情况，皇家国教骑士团Hellsing宣誓誓死捍卫本土，而当时正青春年少却有着“死神”绰号的沃尔达•C•多内兹也带着恐怖的吸血鬼阿尔卡特飞抵英国上空，卷入了这场影响深远的世纪战争中。皇家国教骑士团的传奇就此拉开了序幕……,日本,OVA,HELLSING 外伝:THE DAWN,平野耕太,Graphinica,2011-07-27,完结,奇幻 热血 战斗,奇幻 热血 战斗,http://www.geneon-ent.co.jp/rondorobe/anime/hellsing
恶魔奶爸,电视动画《恶魔奶爸》改编自日本漫画家田村隆平原作的同名漫画。2010年7月5日，集英社宣布将在2010年10月23日举办的“JUMP SUPER ANIME TOUR”活动上公开《恶魔奶爸》的短篇动画（OVA，并将OVA收录在漫画第9卷（2010年12月29日发售）限定版同捆DVD中。在漫画杂志《周刊少年JUMP》2010年40号（9月6日发售）上，则发表了《恶魔奶爸》TV动画化的决定。电视动画于2011年1月9日首播，全60集。,日本,TV,べるぜバブ,田村隆平,St.Signpost,2011-01-09,完结,搞笑 校园 热血 战斗,搞笑 校园 热血 战斗,http://www.ytv.co.jp/beelze/
幻想嘉年华,《幻想嘉年华》是TYPE-MOON的10周年纪念动画，部分改编自武梨绘里创作的二次同人漫画集《TAKE MOON》。,日本,OVA,カーニバル・ファンタズム,TYPE-MOON / 武梨えり,Lerche,2011-08-14,完结,搞笑 奇幻,搞笑 奇幻,http://www.typemoon.com/products/cp/index.html
