其他名称,详情描述,地区,动画种类,原版名称,原作,制作公司,首播时间,播放状态,剧情类型,标签,官方网站
恶魔城 第一季,《恶魔城》是山姆·迪茨执导的动画片，理查德·阿米蒂奇、詹姆斯·卡利斯参与配音，于2017年播出。,日本,WEB,Castlevania Season 1,暂无,Frederator Studios,2017-07-07,完结,奇幻 冒险 战斗,奇幻 冒险 战斗,https://www.netflix.com/title/80095241
TIGER & BUNNY 第二季,《TIGER & BUNNY 第二季》概要——在某个大都市，有一个专门直播超能力者追捕犯人过程的电视节目。那些成为拍摄对象的超能力者，被称为Hero。Hero们都是受雇于商业机构，主角镝木虎彻也是其中一人。 ,日本,TV,TIGER & BUNNY,BN Pictures,BN Pictures,2022-04-08,完结,科幻 冒险 搞笑,科幻 冒险 搞笑,http://www.tigerandbunny.net/
前进吧！登山少女OVA 回忆的礼物,《前进吧！登山少女OVA 回忆的礼物》于2017年秋先行推出，2018年第三季。,日本,OVA,ヤマノススメ おもいでプレゼント,siro,8bit,2017-10-28,完结,搞笑 治愈 百合,搞笑 治愈 百合,http://www.yamanosusume.com/
漫威未来复仇者,《漫威未来复仇者》是由日本华特迪士尼时隔三年推出的日本TV动画。,日本,TV,マーベル フューチャー・アベンジャーズ,漫威娱乐,MADHOUSE,2017-07-22,完结,科幻 冒险,科幻 冒险,http://dlife.disney.co.jp/program/marvel_starwars/future_avengers.html
The Snack World,《SNACK WORLD》是LEVEL-5公司继《闪电十一人》、《纸箱战机》、《妖怪手表》之后的第四弹全新的跨媒体企划，在2015年4月7日举行的新作发表会上被公布。,日本,TV,The SNACK WORLD,LEVEL-5,LEVEL-5 / OLM,2017-04-13,完结,冒险 奇幻 亲子,冒险 奇幻 亲子,http://www.snack-world.jp/
女生宿舍日常 第二季,《女生宿舍日常第二季》主要讲了四个不同背景的女大学生，同住一个宿舍发生的奇妙故事。二哈小斌斌、猥琐的韦彤、拖延症患者大圆以及高冷腹黑的狮兄，各自生活习惯相互交织碰撞，开启了奇葩的大学生活。原本以为这就是全部了，没想到某天又有一只猫从天而降，兜兜转转竟被小斌斌撸走，抱回宿舍养着，至此，709A全员到齐。,中国,WEB,女生宿舍日常 第2季,暂无,北京鱼肚白文化传媒有限公司,2017-10-10,完结,搞笑 校园,搞笑 校园,暂无
信长的忍者 第二季,《信长的忍者～伊势·金崎篇～》是改编自漫画《信长的忍者》的第二期动画。于2017年4月7日起开播。,日本,TV,信長の忍び 〜伊勢・金ヶ崎篇〜,重野なおき,TMS Entertainment,2017-04-07,完结,搞笑 历史 泡面番,搞笑 历史 泡面番,https://nobunaga-no-shinobi.com/
烟花,《升起的烟花，从下面看？还是从侧面看？》是由新房昭之总指导，武内宣之指导，大根仁编剧，SHAFT制作的动画电影。改编自1993年由岩井俊二指导的同名电视短片。,日本,剧场版,打ち上げ花火、下から見るか？横から見るか？,岩井俊二,SHAFT,2017-08-18,完结,治愈 爱情 校园,治愈 爱情 校园,http://www.uchiagehanabi.jp/
怪物弹珠 第二季 消逝的宇宙篇,主人公·焰莲回到曾经住过的街道·神之原，感受到了违和感。他确实应该在这条街道住过，却对那时的事情没有记忆。此时，莲的智能手机突然被安装了从没见过的游戏，其名为《怪物弹珠》。他带着从手机中飞向现实世界的怪物，在街道中展开了战斗！经过战斗，莲注意到了在自己体内沉睡的谜之记忆的正体，以及，怪物弹珠究竟是何物。与握有钥匙的水泽葵、影月明、若叶皆实一起，如今的莲正迈出通往谜团的一步，对于前方沉睡着无法想象的真相一事，仍然一无所知。,日本,WEB,モンスターストライク セカンドシーズン 消えゆく宇宙編,MIXI,YAL,2017-10-07,完结,奇幻 校园 战斗,奇幻 校园 战斗,http://anime.monster-strike.com/
时间飞船 逆袭的三恶人,根据去年播出的「时间飞船24」世界观改编，以三恶人为主人公的时间飞船系列作品。三恶人是指本作中的坏蛋三人组，平常的掩饰身份为世界最大的教科书出版社“历史天国社”第14仓库课的成员，分别是比玛乔、兹夫亚基和铃木。,日本,TV,タイムボカン 逆襲の三悪人,龙之子Production,龙之子Production,2017-10-07,完结,搞笑 科幻 冒险,搞笑 科幻 冒险,http://www.ytv.co.jp/timebokan24/
莉露莉露妖精莉露～魔法之镜～,《莉露莉露妖精莉露 魔法之镜》动画「rilu rilu fairilu」的主人公fairilu是从fairilu之种诞生出的妖精们。fairilu们需要带着自己与生俱来的钥匙，找到属于自己的门。每当妖精们通过属于自己的门就会成长，而门也连接妖精们的世界与人类世界。,日本,TV,リルリルフェアリル～魔法の鏡～,暂无,Studio DEEN,2017-04-07,连载,奇幻 治愈 亲子,奇幻 治愈 亲子,http://www.tv-tokyo.co.jp/anime/rilurilufairilu/
Infini-T Force,《Infini-T Force》是动画公司龙之子成立55周年纪念制作的原创3DCG电视动画。该作集合龙之子旗下1970年代四部经典作品《科学小飞侠》、《破里拳Polimar》、《再造人卡辛》、《宇宙骑士铁甲人》的英雄角色。于2017年9月26日起Hulu先行更新。,日本,TV,Infini-T Force,龙之子Production,龙之子Production,2017-10-02,完结,科幻 战争 冒险,科幻 战争 冒险,http://www.infini-tforce.com/tv/
宇宙战舰大和号2202 爱的战士们,《宇宙战舰大和号2202 爱的战士们》动画是宇宙战舰大和号系列新作，全7章剧场公开决定！ 第1章2017年2月25日公开。原作：西崎义展、系列构成·脚本：福井晴敏、监督：羽原信义、制作总指挥：西崎章司。,日本,TV,宇宙戦艦ヤマト2202 愛の戦士たち,西崎义展/松本零士,XEBEC,2017-02-25,完结,科幻 战争,科幻 战争,http://yamato2202.net/
凹凸世界 第二季,凹凸世界，英文译名Aotu World，是一部国产原创3D动画。漫画版已在布卡漫画和动漫之家等平台开始连载。,中国,WEB,凹凸世界 第二季,七创社,七创社,2017-10-08,完结,奇幻 冒险,奇幻 冒险,暂无
KiraKira☆光之美少女 A La Mode,《Kirakira☆光之美少女A la mode》是由东映动画制作的系列魔法少女动画作品《光之美少女》的第十四部系列作品，属第十二代光之美少女。2017年2月5日起每周日7：30分在朝日电视台首播。中国大陆于每周日12：00分在爱奇艺独家正版更新。,日本,TV,キラキラ☆プリキュアアラモード,東堂いづみ,东映动画,2017-02-05,完结,奇幻 校园 励志 亲子,奇幻 校园 励志 亲子,http://www.toei-anim.co.jp/tv/precure_alamode/
妖神记,妖神一出，谁与争锋。最强妖灵师聂离因为一本神秘的时空妖灵之书重生年少时代，修炼最强功法、最强的妖灵之力，踏足武道巅峰！ 前世的仇人，全部清算。既然重生，这一世我便是主宰一切的众神之王，让一切都在我脚下蛰伏颤抖吧。,中国,TV,妖神记,发飙的蜗牛,若鸿文化,2017-05-09,完结,热血 冒险 战斗,热血 冒险 战斗,暂无
RWBY 第五季,《RWBY》（发音同Ruby）是一部在2013年7月首播的原创网络动画。R、W、B、Y 分别是英语红白黑黄的首字母，代表的分别是四位女主角的主题色。,欧美,WEB,RWBY Volume 5,Monty Oum,Rooster Teeth,2017-10-14,完结,冒险 奇幻 战斗,冒险 奇幻 战斗 热血 百合,http://roosterteeth.com/show/rwby
怪物弹珠 第二季,《怪物弹珠第2季》接续第一季的剧情，与握有钥匙的水泽葵，影月明，若叶皆实一起，如今的莲正迈出通往谜团的一步。,日本,WEB,モンスターストライク セカンドシーズン,MIXI,SANZIGEN,2017-04-01,完结,奇幻 冒险 战斗,奇幻 冒险 战斗,http://anime.monster-strike.com/
银魂. (317-328),电视动画《银魂.》改编自日本漫画家空知英秋原作的漫画《银魂》，是电视动画《银魂》系列的第4期。洛阳决战篇于2017年1月9日-3月27日播出；走光篇则于2017年10月2日起播出。,日本,TV,銀魂.,空知英秋,BN Pictures,2017-01-08,完结,搞笑 热血 励志 战斗,搞笑 热血 励志 战斗,http://www.sunrise-inc.co.jp/gintama/
银魂. 走光篇 (329-341),动画第4季的分割播放，内容为原作漫画尚未动画化的日常内容。讲述了主人公坂田银时与志村新八、神乐在经营万事屋中所发生的故事，内容轻松搞笑，爆笑不断。,日本,TV,銀魂. ポロリ篇,空知英秋,BN Pictures,2017-10-01,完结,搞笑 热血 励志 战斗,搞笑 热血 励志 战斗,http://www.sunrise-inc.co.jp/gintama/
银魂 精选集,《银魂 精选集》是在节目停播期间，把经典人气集数更换OP和ED进行重播回放的一种播放形式。本作品依旧给大家叙述阿银充满着笑与泪的温暖生活。,日本,TV,よりぬき银魂さん,空知英秋,BN Pictures,2017,完结,搞笑 热血 励志 战斗,搞笑 热血 励志 战斗,http://www.sunrise-inc.co.jp/gintama/
战斗陀螺 爆烈 第二季,《霸旋陀螺 爆刃战神》是《霸旋陀螺爆刃对决》的续作，本作于2017年4月3日在东京电视台开播。,日本,TV,ベイブレード バースト 神,森多ヒロ,OLM,2017-04-03,完结,竞技 亲子,竞技 亲子,http://www.tv-tokyo.co.jp/anime/beyblade/
猫猫日本史 第二季,《猫猫日本史 第二季》是由噌西健司的同名四格漫画改编，把历史上的伟大人物们以“如果变成猫的话”的概念进行的拟猫化作品。,日本,TV,ねこねこ日本史 第2期,そにしけんじ,NEFT FILM,2017-04-05,连载,搞笑 历史,搞笑 历史,http://www6.nhk.or.jp/anime/
美妙天堂 第四季,小学生六年级生「梦川唯」是一个想成为偶像，怀着「可爱梦想」的女孩子。但是对于普通的女孩子而言，成为偶像这种事情简直像是在梦中做梦一样。也被朋友说，你还要做梦到什么时候这种话。就在某一天，自己住的小镇里竟然也有了偶像主题公园「美妙天堂」了，而且听说天堂宿的顶级偶像「啦啦」也要来！期待着啦啦登场，梦想膨胀的小唯看到的，却是和自己同一个小学的「真中啦啦」。新系统加成下的美妙天堂里，这两个人又会有怎么样的故事呢？,日本,TV,アイドルタイムプリパラ,T-ARTS / Syn Sophia,龙之子Production / DONGWOO A&E,2017-04-04,完结,校园 歌舞 励志,校园 歌舞 励志 百合,http://www.tv-tokyo.co.jp/anime/pripara/
博人传 火影忍者新时代,日本电视动画《BORUTO -火影新世代-》（中国大陆译名《博人传：火影忍者新时代》）改编自岸本齐史原作并监修、池本干雄编绘、小太刀右京编剧的同名漫画，是《火影忍者》系列的续篇，讲述原作故事完结后漩涡鸣人之子漩涡博人的冒险故事。动画的后续剧情将与岸本齐史负责脚本的剧场版《火影忍者剧场版：博人传》承接。,日本,TV,BORUTO-ボルト- NARUTO NEXT GENERATIONS,岸本斉史,小丑社,2017-04-05,连载,冒险 奇幻 热血,冒险 奇幻 热血,http://www.tv-tokyo.co.jp/anime/boruto/
银之守墓人,电视动画《银之守墓人》改编自零盟工作室原作的同名网络漫画，Anime Japan2016出展宣布动画化，动画由绘梦日本分社负责制作，每话13分钟。,日本,TV,銀の墓守り,零盟工作室（灰仔、闵寻）,绘梦,2017-04-01,完结,冒险 奇幻 战斗,冒险 奇幻 战斗 游戏,http://ginno-guardian.jp/
游戏王VRAINS,「游戏王VRAINS」是「游戏王」动画系列的第6部作品， 于2017年5月10日开始每周三18:25~18:55（北京时间17:25~17:55）在东京电视台首播。,日本,TV,遊☆戯☆王VRAINS,高橋和希,Studio Gallop,2017-05-10,完结,竞技 冒险 科幻 热血,竞技 冒险 科幻 热血,http://www.tv-tokyo.co.jp/anime/yugioh-vrains/
活击/刀剑乱舞,电视动画《活击/刀剑乱舞》改编自DMM Games和Nitroplus共同开发的网页游戏《刀剑乱舞-ONLINE-》，由ufotable负责制作，于2017年7月1日起播出。,日本,TV,活撃/刀剣乱舞,DMM Games / Nitroplus,ufotable,2017-07-01,完结,冒险 奇幻 历史 战斗,冒险 奇幻 历史 战斗,http://katsugeki-touken.com/
活击/刀剑乱舞剧场版,《活击/刀剑乱舞剧场版》动画讲述文久三年。 世间二分为倒幕派与幕府派，刀的时代被宣告结束的时代来临——幕末。 作为刀剑男士刚刚显现的堀川国广，与过去在同一个主人的手下共同战斗的和泉守兼定在落雨的山道中疾驰着。 刀剑男士是寄宿于刀上的念想通过审神者的激发之下、显现于世的『付丧神』。他们的使命是去打倒来自未来企图改变历史的『时间溯行军』，为了守护那“正确的历史”。 迎来了新伙伴陆奥守吉行、药研藤四郎、蜻蛉切与鹤丸国永的堀川国广、和泉守兼定两刃，在这动乱的时代之中，投身于与时间溯行军的战役。 挥动着的刀刃上所倒映出的是光、抑或是影？ 刀剑男士，出阵。,日本,剧场版,活撃 刀剣乱舞 劇場版,DMM/Nitro+,ufotable,暂无,未播放,冒险 历史 奇幻 战斗,冒险 历史 奇幻 战斗,http://katsugeki-touken.com/
Pingu in the City,《企鹅家族（PINGU）》是由瑞士制作、风靡全世界的一部黏土动画卡通。从1986年诞生至今，在世界范围内都有着广泛的人气。近日，据日媒报道，黏土动画系列的《企鹅家族》终于要CG动画化了。本次CG动画将交由日本制作人员制作，并预定于10月7日开播。,日本,TV,Pingu in the City,オットマー・グットマン,PPI,2017-10-07,连载,亲子 泡面番,亲子 泡面番,暂无
故乡漫游 日本的古老传说(2017),节目最大的魅力就是老少咸宜，适合一家人在茶余饭后共同观赏。一家人聚在一起看电视的时间越来越少，主创方希望通过这部动画让观众们再次感受到家庭的温暖。,日本,TV,ふるさと再生 日本の昔ばなし,暂无,Tomason,2017-04-02,完结,奇幻 治愈 教育 神魔,奇幻 治愈 教育 神魔,http://www.tv-tokyo.co.jp/anime/mukashibanashi/
鲁邦三世剧场版 血烟的石川五右卫门,《鲁邦三世：血烟的石川五右卫门》是一部由小池健执导，高桥悠也编剧的日本电影，是继《鲁邦三世：次元大介的墓碑》之后，鲁邦三世又一部外传电影，主要讲述鲁邦一伙中的武士石川五右卫门的故事。,日本,剧场版,LUPIN THE IIIRD 血煙の石川五ェ門,加藤一彦,Telecom Animation Film,2017-02-04,完结,悬疑 冒险 热血,悬疑 冒险 热血,http://jigen-movie.com/
全金属狂潮(总集篇1) Boy Meets Girl,《全金属狂潮剧场版》动画内容为全金属狂潮第1季导演剪辑版，共3部。 ,日本,剧场版,フルメタル・パニック! ボーイ・ミーツ・ガール,四季童子 / 賀東招二,GONZO,2017-11-25,完结,科幻 爱情 搞笑,科幻 爱情 搞笑,http://www.bs11.jp/anime/post-4/
黑白来看守所 第二季,当前正在热播的10月搞笑新番《黑白来看守所》令无数观众喷饭，在剧情开始进入后半程时，官方曝出了惊喜的消息——动画第二季正在制作中，并将从明年1月4日起开始播出。[1] ,日本,TV,ナンバカ 第2期,双又翔,SATELIGHT,2017-01-04,完结,搞笑 女性向,搞笑 女性向,http://nanbaka.tv/
黑白来看守所OVA,南波刑务所——位于海上孤岛的难攻不落巨大刑务所。 没有任何人能从被强悍的看守以及世界最高水准的安保所守卫的这所刑务所当中越狱……应该是这样！？ 带着神秘枷锁的天才越狱囚犯·Jugo（囚犯编号15号） 喜欢女人的赌徒·Uno（囚犯编号11号） 爱打架的美食家·Rock（囚犯编号69号） 身患宿疾的阿宅·Nico（囚犯编号25号） 集中在13舍13房的，有些奇怪的4名囚犯。 为了阻止他们越狱，每天急速冲刺的最强看守双六一！！ 个性丰富的囚犯、看守们的最高纯粹笨蛋物语，在此刑务所开幕！！,日本,OVA,ナンバカ OVA,双又翔,SATELIGHT,2017-07-26,完结,搞笑 女性向,搞笑 女性向,http://nanbaka.tv/
反叛的鲁路修 I 兴道,《Code Geass 反叛的鲁鲁修剧场版》动画将以总集篇剧场版形式于2017年1月公开，共分为3部。,日本,剧场版,コードギアス 反逆のルルーシュ I 興道,大河内一楼 / 谷口悟朗,SUNRISE,2017-10-21,完结,悬疑 科幻 机战 战争 社会,悬疑 科幻 机战 战争 社会,http://www.geass.jp/
魔法科高校的劣等生剧场版 呼唤星辰的少女,《魔法科高中的劣等生：呼唤星星的少女》是由吉田里纱子执导，《魔法科高中的劣等生》轻小说原作者佐岛勤与中本宗应共同谱写剧本，8Bit制作的动画电影。剧情为原创，发生在原作小说第11卷“来访者篇”之后。讲述两兄妹于魔法科高中第一学年结束后，在春季假期去小笠原诸岛的别墅渡假时遇到一位从海军基地脱逃的少女“九亚”所发生的故事。,日本,剧场版,劇場版 魔法科高校の劣等生 星を呼ぶ少女,佐島勤,8bit,2017-06-017,完结,校园 后宫 科幻 奇幻,校园 后宫 科幻 奇幻,http://mahouka.jp/
昭和元禄落语心中 第二季,电视动画《昭和元禄落语心中 -助六再现篇-》改编自云田晴子的漫画作品《昭和元禄落语心中》，为第2期动画。由Studio DEEN制作，于2017年1月6日起播放。全12话。,日本,TV,昭和元禄落語心中 -助六再び篇-,雲田はるこ,Studio DEEN,2017-01-06,完结,社会 歌舞 励志,社会 歌舞 励志,http://rakugo-shinju-anime.jp
Fate/stay night Heaven's Feel I.presage flower,《Fate/stay night [Heaven's Feel]》是ufotable制作的动画电影，由须藤友德导演和桧山彬编剧，梶浦由记负责配乐，剧场版将分为三部分播映。,日本,剧场版,Fate/stay night [Heaven's Feel] I.presage flower,TYPE-MOON / 奈须蘑菇,ufotable,2017-10-14,完结,冒险 奇幻 战斗,战斗 冒险 奇幻 神魔,http://www.fate-sn.com/
哥斯拉 怪兽行星,动画电影《哥斯拉 怪兽行星》由静野孔文和濑下宽之担任导演，Polygon Pictures制作，于2017年11月17日在日本首映。,日本,剧场版,GODZILLA 怪獣惑星,虚渊玄,PPI,2017-11-17,完结,科幻 冒险 战争,科幻 冒险 战争,http://godzilla-anime.com/index.html
交响诗篇 Hi-Evolution 1,剧场版动画《交响诗篇 Hi-Evolution》将分为三部曲，第一部2017年公开。,日本,剧场版,交響詩篇エウレカセブン ハイエボリューション1,BONES,BONES,2017-09-16,完结,机战 科幻,机战 科幻,http://eurekaseven.jp/
NEKOPARA OVA,动画《NEKOPARA》改编自NEKO WORKs的同名美少女游戏。动画由FelixFilm负责制作，NEKO WORKs监修。,日本,OVA,ネコぱらOVA,NEKO WORKs,FelixFilm / ixtl,2017-12-22,完结,后宫 治愈 美少女,后宫 治愈 职场 美少女,http://nekoparaova.com/
进击的巨人 LOST GIRLS,动画《进击的巨人 LOST GIRLS》为单行本第24、25、26卷限定版同捆OAD。,日本,OVA,進撃の巨人 LOST GIRLS,諫山創,WIT STUDIO,2017-12-08,完结,热血 悬疑 奇幻 剧情,热血 战斗 悬疑 奇幻 血腥 剧情,http://shingeki.tv/
窈窕淑女剧场版 前篇 ～红绪、花样的17岁～,大和和纪创作的漫画作品「窈窕淑女」(はいからさんが通る)的新剧场版。原作漫画从1975年到1977年在讲谈社的「周刊 少女Friend」上连载，第一回便成为讲谈社漫画赏中少女漫画部门的受赏作品，曾红极一时。,日本,剧场版,劇場版 はいからさんが通る 前編 ～紅緒、花の17歳～,大和和紀,Nippon Animation,2017-11-11,完结,爱情 战争,爱情 战争,http://haikarasan.net/
巴哈姆特之怒 VIRGIN SOUL,电视动画《巴哈姆特之怒 VIRGIN SOUL》改编自Cygames开发的手机游戏《巴哈姆特之怒》，该作为系列动画的第二作。于2015年5月正式发表制作决定的消息。动画由MAPPA制作，于2017年4月8日起在MBS、TBS首播。全24话。,日本,TV,神撃のバハムート VIRGIN SOUL,Cygames,MAPPA,2017-04-07,完结,冒险 奇幻 神魔,冒险 奇幻 神魔 战斗 剧情,http://shingekinobahamut-virginsoul.jp/
One Room,《One Room》是由台风Graphics制作的第一人称视角的原创短篇动画作品，于2017年1月11日至3月29日播出，全12话。,日本,TV,One Room,SMIRAL Records,台风Graphics,2017-01-11,完结,治愈 泡面番,治愈 泡面番 美少女,http://oneroom-anime.com/
尽量加油吧！魔法少女胡桃,以魔法少女的三名同班同学为主角的“旁观系”动画，将会在AbemaTV配信。,日本,WEB,せいぜいがんばれ！魔法少女くるみ,暂无,Pie in the sky,2017-07-29,完结,搞笑 魔法,搞笑 魔法 泡面番,https://www.seizeiganbare.jp
LayereD Stories 0,动画《LayereD Stories 0》动改编自同名手游，讲述的是2037年在涉谷发生的故事。,日本,WEB,LayereD Stories 0,CC2,PPI,2017-11-26,完结,科幻 冒险,科幻 冒险,暂无
请问您今天要来点兔子吗？？～Dear My Sister～,《请问您今天要来点兔子吗？？ ～Dear My Sister～》是漫画作品《请问您今天要来点兔子吗？》的剧场版动画，该动画采用新作原创剧本，由production doA制作，于2017年11月11日在日本指定电影院上映。中国台湾由车库娱乐代理，于2018年1月19日上映。,日本,剧场版,ご注文はうさぎですか？？～Dear My Sister～,Koi,production dóA,2017-11-11,完结,搞笑 百合 治愈 职场,搞笑 百合 治愈 职场 萝莉 美少女,http://www.gochiusa.com/ova/
与魔共舞-Fortuna-,剧场版动画《与魔共舞-Fortuna-》于2017年秋上映。,日本,剧场版,Dance with Devils-Fortuna-,暂无,Brain's Base,2017-11-04,完结,爱情 奇幻 女性向,爱情 奇幻 女性向,https://dwd-movie.com
魔法少女伊莉雅剧场版 雪下的誓言,《Fate/kaleid liner 魔法少女☆伊莉雅：雪下的誓言》是由大沼心指导，井上坚二和水濑叶月编剧，SILVER LINK.制作的动画电影。改编自广山弘原作的《Fate/stay night》外传漫画《Fate/kaleid liner 魔法少女☆伊莉雅 3rei!!》第7卷内容。剧情作为电视动画《Fate/kaleid liner 魔法少女☆伊莉雅》的前传，“平行世界”中卫宫士郎和美游两兄妹的故事。,日本,剧场版,劇場版 Fate/kaleid liner プリズマ☆イリヤ 雪下の誓い,广山弘 / TYPE-MOON,SILVER LINK.,2017-08-26,完结,冒险 百合 奇幻 战斗,冒险 百合 奇幻 战斗 神魔,http://anime.prisma-illya.jp/movie/sekka/
扩张少女系三重奏,该企划将“动画”与“游戏”两种媒介融合在一起，在动画中展现故事的主轴，而在游戏中玩家则可以通过手机介入动画中未提及的女主角们的内心世界。,日本,WEB,拡張少女系トライナリー,暂无,feel.,2017-04-12,完结,科幻 百合 战斗,科幻 百合 战斗,http://apps.kakutora.com
麟&犀×AI韵律♪,《麟&犀×AI韵律♪》是根据中国移动通信公司咪咕（中国移动）与日本通信公司NTT DOCOMO共同打造次元偶像组合项目企划而推出的网络直播动画。于2017年3月25日在“AnimeJapan 2017”宣布该企划。,日本,WEB,直感×アルゴリズム♪,暂无,NTT DOCOMO,2017-08-17,完结,歌舞 美少女,歌舞 美少女,http://project-algorhythm.com/
兽娘动物园,电视动画《兽娘动物园》是以“动物”为原作，由吉崎观音设计的角色与世界观构成IP，涵盖动画、游戏、漫画的跨媒体企划中的一部分。2016年10月21日，NEXON正式发表《兽娘动物园》TV动画化的决定。电视动画于2017年1月10日首播，全12集。在电视动画播出完毕一周后监督たつき在视频网站放出自主制作的短篇（12.1话）。,日本,TV,けものフレンズ,けものフレンズプロジェクト,AOYOROZU,2017-01-10,完结,搞笑 奇幻 治愈,搞笑 奇幻 治愈,http://kemono-friends-20170110.jp/
RWBY Chibi 第二季,《RWBY Chibi》是官方制作的一系列小短片，可看作是RWBY正片的一个平行宇宙，没有具体的剧情，是一部以小剧场为主的娱乐性动画片。RWBY正片中的角色都会出现，不过会变成SD小人形象，即所谓的“Chibi”（ちび，小小的人）。,欧美,WEB,RWBY Chibi Season 2,暂无,Rooster Teeth,2017-05-13,完结,搞笑 百合,搞笑 百合 泡面番,http://roosterteeth.com/show/rwby-chibi
RWBY Volume 1-3 The Beginning,本作的背景设定在一个类现代但是充满着超自然力量的世界Remnant。主要角色为四个拥有各自的特殊能力（外像力）及武器的女孩：一个是少年英雄，一个是尊贵的女继承人，一个是迷惘的侠盗，一个是派对女孩。她们因各种原因聚在一起组成“RWBY”小队并接受训练，一心致力于对抗肆意横行的邪恶力量。 在此之前，人类为了生存，发起了对戮兽（Grimm）的战争，直到他们发现“尘晶”（Dust）可以被用作魔力来源，这让人类得以对抗它们，并建立了文明世界。,欧美,TV,RWBY Volume 1-3: The Beginning,暂无,Rooster Teeth,2017-07-07,完结,奇幻 战斗 百合,奇幻 战斗 百合,http://rwby.jp/thebeginning/
笑对昙天  前篇 ～诀别、豺的誓言～,明治时代，随着文明开化及迅速西化，使得日本进入前所未有的改革期。,日本,剧场版,曇天に笑う＜外伝＞～決別、犲の誓い～,唐々煙,WIT STUDIO,2017-12-02,完结,冒险 历史 战斗,冒险 历史 战斗 女性向,http://donten-anime.jp/
偶像大师 灰姑娘女孩剧场,好评配信中的偶像培育游戏「偶像大师 灰姑娘女孩」，在本游戏内进行展开的「灰姑娘女孩剧场」，化身TV动画崭新登场！,日本,TV,アイドルマスター シンデレラガールズ劇場,BANDAI NAMCO Entertainment,GATHERING,2017-04-04,完结,百合 歌舞 泡面番,百合 歌舞 泡面番,http://cingeki-anime.com/
偶像大师 灰姑娘女孩剧场 第二季,电视动画《偶像大师灰姑娘女孩剧场》改编自手游《偶像大师 灰姑娘女孩》中不定期连载的5格漫画。由Gathering制作，主要的故事内容都是偶像们平时的生活和吐槽。动画于2017年4月4日开播。,日本,TV,アイドルマスター シンデレラガールズ劇場 第2期,BANDAI NAMCO Entertainment,GATHERING,2017-10-03,完结,歌舞 百合 泡面番,歌舞 百合 泡面番,http://cingeki-anime.com/
NO GAME NO LIFE 游戏人生 ZERO,《NO GAME NO LIFE 游戏人生 ZERO》是一部改编自轻小说《NO GAME NO LIFE 游戏人生》、由MADHOUSE制作的剧场版动画，于2016年7月17日在MF文库J夏之学园祭上宣布了制作决定的消息。剧情改编自原作小说第六卷，讲述了六千多年前不为人知晓的故事。,日本,剧场版,ノーゲーム・ノーライフ ゼロ,榎宮祐,MADHOUSE,2017-07-15,完结,奇幻 冒险 后宫,奇幻 冒险 后宫 轻小说,http://ngnl.jp/
Free!-Timeless Medley- 绊,《Free!-Timeless Medley- 绊 》是由京都动画制作的《Free!》剧场版，《Free!-Timeless Medley-》的上篇，将于2017年4月22日上映。主题曲是《RISING FREE》，由动画中的五人声优组成的STYLE FIVE演唱。,日本,剧场版,劇場版 Free!-Timeless Medley- 絆,おおじこうじ,京都动画 / ANIMATION Do,2017-04-22,完结,竞技 校园 运动,竞技 校园 运动 女性向,http://tm.iwatobi-sc.com/
Free!-Timeless Medley- 约束,《Free!-Timeless Medley- 约束》是由京都动画制作的《Free!》剧场版，《Free!-Timeless Medley-》的下篇，将于2017年7月1日上映。主题曲是《RISING FREE》，由动画中的五人声优组成的STYLE FIVE演唱。,日本,剧场版,劇場版 Free!-Timeless Medley- 約束,おおじこうじ,京都动画 / ANIMATION Do,2017-07-01,完结,竞技 校园 运动,竞技 校园 运动 女性向,http://tm.iwatobi-sc.com/
BanG Dream!,由同名次世代少女乐队企划改编而成的电视动画《BanG Dream!》，于2016年7月宣布制作决定。于2017年1月21日开始放送。ISSEN与XEBEC负责动画制作。全13话，外加1话OVA收录于第7卷BD中。动画第2期于2019年1月3日起播出。,日本,TV,BanG Dream!,ISSEN,ISSEN / XEBEC,2017-01-21,完结,竞技 歌舞 校园 百合,竞技 歌舞 校园 百合,https://anime.bang-dream.com/1st/
Free!-Take Your Marks-,《Free!-Take Your Marks-》是由京都动画制作的剧场版动画，改编自大路小路原作的轻小说《High☆Speed!》。整部动画分为四个小故事，讲述的是七濑遥等人高中毕业后发生的故事，于2017年10月28日上映。,日本,剧场版,特別版 Free!-Take Your Marks-,おおじこうじ,京都动画 / ANIMATION Do,2017-10-28,完结,竞技 校园 运动,竞技 校园 运动 女性向,http://tym.iwatobi-sc.com/
境界之轮回 第三季,学园&灵界爱情喜剧，第三幕!六道家的秘密现在被揭开——,日本,TV,境界のRINNE 第3シリーズ,高橋留美子,Brain's Base,2017-04-08,完结,奇幻 搞笑 爱情 神魔,奇幻 搞笑 爱情 神魔,http://www.nhk.or.jp/anime/rinne/
剑风传奇(2016) 第二季,电视动画《烙印勇士》根据三浦健太郎创作的同名漫画改编，由GEMBA、millepensee共同制作。2015年12月21日由杂志《YoungAnimal》公开2016年启动全新的动画项目。2016年7月2日举办第1~2话特别先行上映会。,日本,TV,ベルセルク 次篇,三浦建太郎,GEMBA / Millepensee,2017-04-07,完结,冒险 奇幻 战斗 热血,冒险 奇幻 战斗 热血,http://berserk-anime.com/
